tick,total_waste,green_waste,yellow_waste,red_waste,waste_disposed,avg_energy,messages_sent
589,6,0,1,5,5,1.3333333333333333,5182
590,6,0,1,5,5,1.6666666666666667,5190
591,6,0,1,5,5,1.5555555555555556,5199
592,6,0,1,5,5,1.4444444444444444,5208
593,6,0,1,5,5,1.3333333333333333,5217
594,6,0,1,5,5,1.6666666666666667,5226
595,6,0,1,5,5,1.5555555555555556,5235
596,6,0,1,5,5,1.4444444444444444,5244
597,6,0,1,5,5,1.3333333333333333,5253
598,6,0,1,5,5,1.6666666666666667,5262
599,6,0,1,5,5,1.5555555555555556,5271
600,6,0,1,5,5,1.4444444444444444,5280
601,6,0,1,5,5,1.3333333333333333,5289
602,6,0,1,5,5,1.6666666666666667,5298
603,6,0,1,5,5,1.5555555555555556,5307
604,6,0,1,5,6,1.4444444444444444,5316
605,6,0,1,5,6,1.3333333333333333,5325
606,6,0,1,5,6,1.6666666666666667,5334
607,6,0,1,5,6,1.5555555555555556,5343
608,6,0,1,5,6,1.4444444444444444,5352
609,6,0,1,5,6,1.3333333333333333,5361
610,6,0,1,5,6,1.6666666666666667,5370
611,6,0,1,5,6,1.5555555555555556,5379
612,6,0,1,5,6,1.4444444444444444,5388
613,6,0,1,5,6,1.3333333333333333,5397
614,6,0,1,5,6,1.6666666666666667,5406
615,6,0,1,5,6,1.5555555555555556,5415
616,6,0,1,5,6,1.4444444444444444,5424
617,6,0,1,5,6,1.3333333333333333,5433
618,6,0,1,5,6,1.6666666666666667,5442
619,6,0,1,5,6,1.5555555555555556,5451
620,6,0,1,5,6,1.4444444444444444,5460
621,6,0,1,5,6,1.3333333333333333,5469
622,6,0,1,5,6,1.6666666666666667,5478
623,6,0,1,5,6,1.5555555555555556,5487
624,6,0,1,5,6,1.4444444444444444,5496
625,6,0,1,5,6,1.3333333333333333,5505
626,6,0,0,6,6,1.6666666666666667,5514
627,6,0,0,6,6,1.5555555555555556,5523
628,6,0,0,6,6,1.4444444444444444,5532
629,6,0,0,6,6,1.3333333333333333,5541
630,12,5,1,6,6,1.6666666666666667,5550
631,12,5,1,6,6,1.5555555555555556,5559
632,12,5,1,6,6,1.4444444444444444,5568
633,11,4,1,6,6,1.2222222222222223,5577
634,11,4,1,6,6,2.0,5586
635,11,4,1,6,6,2.3333333333333335,5594
636,11,4,1,6,6,1.3333333333333333,5601
637,10,3,1,6,6,1.1111111111111112,5608
638,10,3,1,6,6,2.3333333333333335,5615
639,9,3,0,6,6,2.111111111111111,5623
640,9,3,0,6,6,1.5555555555555556,5631
641,9,3,0,6,6,1.4444444444444444,5640
642,9,3,0,6,6,2.2222222222222223,5649
643,9,3,0,6,6,1.6666666666666667,5658
644,9,3,0,6,6,1.1111111111111112,5667
645,9,3,0,6,6,1.0,5675
646,9,3,0,6,6,2.2222222222222223,5683
647,8,2,0,6,6,1.5555555555555556,5691
648,8,2,0,6,6,1.4444444444444444,5698
649,8,1,1,6,6,0.7777777777777778,5706
650,8,1,1,6,6,2.4444444444444446,5715
651,8,1,1,6,6,2.3333333333333335,5724
652,8,1,1,6,6,1.3333333333333333,5733
653,8,1,1,6,6,0.7777777777777778,5742
654,8,1,1,6,6,2.0,5751
655,7,1,0,6,6,1.7777777777777777,5759
656,8,1,1,6,6,2.111111111111111,5767
657,8,1,1,6,6,2.4444444444444446,5777
658,8,1,1,6,6,2.3333333333333335,5786
659,8,1,1,6,6,2.2222222222222223,5795
660,8,1,1,6,6,1.6666666666666667,5804
661,8,1,1,6,6,1.5555555555555556,5813
662,8,1,1,6,6,1.8888888888888888,5822
663,8,1,1,6,6,1.7777777777777777,5831
664,8,1,1,6,6,1.2222222222222223,5840
665,8,1,1,6,6,2.0,5847
666,7,1,1,5,6,1.7777777777777777,5854
667,7,1,1,5,6,1.6666666666666667,5862
668,7,1,1,5,6,1.1111111111111112,5871
669,7,1,1,5,6,1.4444444444444444,5880
670,7,1,1,5,6,1.7777777777777777,5889
671,7,1,1,5,6,1.6666666666666667,5898
672,8,1,1,6,6,1.1111111111111112,5907
673,8,1,1,6,6,1.4444444444444444,5917
674,8,1,1,6,6,1.7777777777777777,5926
675,8,1,1,6,6,1.6666666666666667,5935
676,8,1,1,6,6,1.1111111111111112,5944
677,8,1,1,6,6,1.4444444444444444,5953
678,8,1,1,6,6,1.7777777777777777,5961
679,8,1,1,6,6,1.6666666666666667,5969
680,8,1,1,6,6,1.5555555555555556,5977
681,7,1,0,6,6,1.3333333333333333,5985
682,7,1,0,6,6,1.6666666666666667,5993
683,7,1,0,6,6,1.5555555555555556,6002
684,7,1,0,6,6,1.4444444444444444,6011
685,7,1,0,6,6,1.3333333333333333,6020
686,7,1,0,6,6,1.6666666666666667,6029
687,7,1,0,6,6,1.5555555555555556,6038
688,7,1,0,6,6,1.4444444444444444,6047
689,7,1,0,6,6,1.3333333333333333,6056
690,7,0,1,6,6,1.6666666666666667,6065
691,7,0,1,6,6,1.5555555555555556,6074
692,7,0,1,6,6,1.4444444444444444,6083
693,7,0,1,6,6,1.3333333333333333,6092
694,7,0,1,6,7,1.6666666666666667,6101
695,7,0,1,6,7,1.5555555555555556,6110
696,7,0,1,6,7,1.4444444444444444,6119
697,7,0,1,6,7,1.3333333333333333,6128
698,7,0,1,6,7,1.6666666666666667,6136
699,7,0,1,6,7,1.5555555555555556,6144
700,6,0,1,5,7,1.3333333333333333,6152
701,6,0,1,5,7,1.6666666666666667,6160
702,6,0,1,5,7,1.5555555555555556,6169
703,6,0,1,5,7,1.4444444444444444,6178
704,6,0,1,5,7,1.3333333333333333,6187
705,6,0,1,5,7,1.6666666666666667,6196
706,6,0,1,5,7,1.5555555555555556,6205
707,6,0,1,5,7,1.4444444444444444,6214
708,6,0,1,5,7,1.3333333333333333,6223
709,6,0,1,5,7,1.6666666666666667,6232
710,6,0,1,5,7,1.5555555555555556,6241
711,6,0,1,5,7,1.4444444444444444,6250
712,6,0,1,5,7,1.3333333333333333,6259
713,6,0,1,5,7,1.6666666666666667,6268
714,6,0,1,5,7,1.5555555555555556,6277
715,6,0,1,5,8,1.4444444444444444,6286
716,6,0,1,5,8,1.3333333333333333,6296
717,6,0,1,5,8,1.6666666666666667,6306
718,6,0,1,5,8,1.5555555555555556,6315
719,6,0,1,5,8,1.4444444444444444,6325
720,11,4,2,5,8,1.2222222222222223,6335
721,11,4,2,5,8,1.5555555555555556,6344
722,11,4,2,5,8,1.8888888888888888,6354
723,11,4,2,5,8,1.3333333333333333,6363
724,11,4,2,5,8,1.2222222222222223,6372
725,11,4,2,5,8,1.5555555555555556,6381
726,11,4,2,5,8,1.8888888888888888,6391
727,11,4,2,5,8,1.3333333333333333,6401
728,11,4,2,5,8,1.2222222222222223,6411
729,11,4,2,5,8,1.5555555555555556,6421
730,11,4,2,5,8,1.8888888888888888,6430
731,11,4,2,5,8,1.3333333333333333,6439
732,11,4,2,5,8,1.2222222222222223,6448
733,11,4,2,5,8,1.5555555555555556,6456
734,10,4,1,5,8,1.7777777777777777,6464
735,10,4,1,5,8,1.2222222222222223,6472
